iter	Passed	Remaining
0	47	47406
1	97	48832
2	157	52494
3	221	55088
4	291	58006
5	359	59586
6	420	59644
7	484	60137
8	555	61160
9	611	60558
10	664	59730
11	716	59017
12	767	58256
13	819	57695
14	868	57052
15	909	55923
16	959	55478
17	1010	55131
18	1061	54803
19	1112	54501
20	1162	54204
21	1214	54008
22	1266	53778
23	1316	53531
24	1366	53312
25	1418	53149
26	1471	53028
27	1504	52227
28	1554	52057
29	1606	51948
30	1657	51815
31	1708	51695
32	1759	51572
33	1809	51418
34	1860	51295
35	1914	51278
36	1966	51173
37	2017	51072
38	2068	50969
39	2120	50886
40	2171	50788
41	2220	50642
42	2271	50557
43	2322	50467
44	2371	50335
45	2425	50299
46	2454	49772
47	2504	49680
48	2557	49631
49	2605	49513
50	2658	49468
51	2707	49359
52	2760	49316
53	2810	49243
54	2863	49201
55	2915	49153
56	2966	49072
57	3021	49078
58	3075	49056
59	3128	49008
60	3180	48955
61	3232	48908
62	3285	48865
63	3337	48804
64	3376	48575
65	3429	48533
66	3484	48529
67	3536	48476
68	3590	48441
69	3641	48383
70	3691	48304
71	3742	48231
72	3793	48178
73	3846	48131
74	3896	48056
75	3948	48003
76	4000	47951
77	4053	47911
78	4085	47634
79	4134	47548
80	4185	47492
81	4236	47427
82	4288	47384
83	4341	47344
84	4394	47309
85	4447	47267
86	4500	47226
87	4549	47146
88	4601	47095
89	4652	47039
90	4705	47001
91	4756	46949
92	4807	46888
93	4860	46848
94	4913	46811
95	4967	46774
96	5018	46716
97	5071	46680
98	5123	46627
99	5176	46592
100	5230	46553
101	5280	46492
102	5331	46430
103	5384	46386
104	5436	46338
105	5489	46295
106	5541	46247
107	5594	46207
108	5644	46140
109	5695	46084
110	5730	45893
111	5779	45826
112	5831	45775
113	5884	45734
114	5938	45699
115	5992	45665
116	6044	45616
117	6096	45569
118	6148	45519
119	6199	45464
120	6251	45412
121	6302	45357
122	6355	45317
123	6385	45110
124	6433	45037
125	6489	45012
126	6542	44970
127	6593	44918
128	6645	44871
129	6697	44824
