id,dep_delayed_15min
0,0.028157542
1,0.03942013
2,0.030447165
3,0.21533588
4,0.21307956
5,0.075667374
6,0.06514021
7,0.34274268
8,0.17692089
9,0.28908476
10,0.22645551
11,0.16463412
12,0.09875356
13,0.2083844
14,0.07805719
15,0.21265154
16,0.083224684
17,0.29219928
18,0.41803157
19,0.008662446
20,0.28783795
21,0.038129777
22,0.39495906
23,0.17682074
24,0.2717555
25,0.2553442
26,0.01312843
27,0.02933861
28,0.2514934
29,0.20104124
30,0.1869527
31,0.35186857
32,0.04027488
33,0.2797063
34,0.50586987
35,0.2767028
36,0.22430031
37,0.15104331
38,0.1219867
39,0.21536951
40,0.17541322
41,0.16501573
42,0.20838375
43,0.32228893
44,0.16024922
45,0.36718845
46,0.010315016
47,0.18855749
48,0.40494075
49,0.1313049
50,0.5312394
51,0.04109628
52,0.16194125
53,0.37368277
54,0.2923065
55,0.050485987
56,0.19849753
57,0.32405922
58,0.10855834
59,0.3332815
60,0.13403225
61,0.11729235
62,0.16303273
63,0.24308454
64,0.21236674
65,0.16238177
66,0.035979856
67,0.10175606
68,0.13858825
69,0.18821132
70,0.018936733
71,0.22987127
72,0.38010737
73,0.30731794
74,0.55391264
75,0.24271777
76,0.08909545
77,0.14843857
78,0.104585916
79,0.111165695
80,0.17855982
81,0.162269
82,0.123059906
83,0.16448209
84,0.124378614
85,0.026183428
86,0.13621226
87,0.19510439
88,0.21604052
89,0.17335452
90,0.22444662
91,0.22652934
92,0.121049464
93,0.14143331
94,0.22058412
95,0.1526501
96,0.37734035
97,0.2382176
98,0.19937275
99,0.30571347
100,0.16654053
101,0.19857144
102,0.06824135
103,0.22707152
104,0.0076528233
105,0.112149015
106,0.23660709
107,0.057084434
108,0.16117053
109,0.1987481
110,0.24018896
111,0.25352
112,0.73736197
113,0.031047389
114,0.07024285
115,0.14498197
116,0.10597286
117,0.4416018
118,0.08262671
119,0.12946601
120,0.39948028
121,0.3230954
122,0.20075321
123,0.18064982
124,0.21624377
125,0.031584352
126,0.05336075
127,0.027488237
128,0.08229609
129,0.45422935
130,0.37481296
131,0.1129809
132,0.03714634
133,0.1367153
134,0.040632807
135,0.33923337
136,0.2488149
137,0.15820152
138,0.019106044
139,0.04817595
140,0.36978647
141,0.19169071
142,0.32952693
143,0.27446216
144,0.24467084
145,0.24817356
146,0.19701575
147,0.23607588
148,0.18549731
149,0.40597457
150,0.3921306
151,0.20579742
152,0.14184594
153,0.16325927
154,0.15408653
155,0.16961083
156,0.16151956
157,0.23015064
158,0.29548854
159,0.031205093
160,0.0950338
161,0.32093322
162,0.5938273
163,0.13125215
164,0.118250795
165,0.11307768
166,0.1010794
167,0.007423273
168,0.12221103
169,0.26758242
170,0.23380278
171,0.2166166
172,0.09275677
173,0.19828215
174,0.26731113
175,0.23097628
176,0.12166538
177,0.025465975
178,0.28988382
179,0.17524742
180,0.02093819
181,0.13032229
182,0.2611531
183,0.42539296
184,0.17146786
185,0.26677275
186,0.2404898
187,0.28192964
188,0.23947637
189,0.31225875
190,0.3747109
191,0.31113428
192,0.20288868
193,0.16276766
194,0.18657522
195,0.13950479
196,0.08462623
197,0.11005311
198,0.39976424
199,0.26541075
200,0.15246408
201,0.33243588
202,0.2776022
203,0.025859958
204,0.009146547
205,0.29061952
206,0.5481292
207,0.01095114
208,0.15058064
209,0.20034629
210,0.020440925
211,0.0715675
212,0.26676548
213,0.3250225
214,0.14468136
215,0.12803902
216,0.028481333
217,0.097956516
218,0.25003836
219,0.13943216
220,0.14549643
221,0.21578746
222,0.13238123
223,0.13651572
224,0.3185771
225,0.123527616
226,0.22122034
227,0.3989829
228,0.26972103
229,0.735711
230,0.029277457
231,0.15956256
232,0.21625078
233,0.35214394
234,0.16810776
235,0.11107703
236,0.03653245
237,0.21689032
238,0.1653204
239,0.15238225
240,0.1253788
241,0.39758596
242,0.1560281
243,0.120080605
244,0.20802352
245,0.29492122
246,0.3481127
247,0.40488774
248,0.5632909
249,0.1853743
250,0.24202427
251,0.05795809
252,0.09637449
253,0.18596679
254,0.38776684
255,0.19724405
256,0.13494931
257,0.02410364
258,0.2197851
259,0.008195476
260,0.34075487
261,0.07405604
262,0.35317487
263,0.2054282
264,0.15622959
265,0.25240362
266,0.23423839
267,0.105779074
268,0.22822934
269,0.3148565
270,0.0836611
271,0.14077479
272,0.2371223
273,0.01648662
274,0.30140525
275,0.13224962
276,0.030320646
277,0.20456891
278,0.11784186
279,0.25747925
280,0.15504555
281,0.3533208
282,0.13668765
283,0.12075474
284,0.15698716
285,0.21124253
286,0.1499172
287,0.11705564
288,0.36257914
289,0.06375298
290,0.1403292
291,0.14716503
292,0.321022
293,0.26830047
294,0.33331674
295,0.08818247
296,0.022578059
297,0.15327731
298,0.12737994
299,0.17365037
300,0.1990242
301,0.17314112
302,0.124203645
303,0.26948267
304,0.1912489
305,0.3476336
306,0.15334064
307,0.07681399
308,0.18730295
309,0.19442151
310,0.31338626
311,0.1836497
312,0.038958207
313,0.27882162
314,0.2480354
315,0.14500159
316,0.15668678
317,0.10565749
318,0.26538098
319,0.17105982
320,0.19051574
321,0.036967844
322,0.14323848
323,0.16253121
324,0.11638931
325,0.26850203
326,0.03254757
327,0.2024351
328,0.029890856
329,0.17669947
330,0.2326644
331,0.4521228
332,0.33508056
333,0.18254519
334,0.36906272
335,0.22298846
336,0.32593483
337,0.05802424
338,0.2621143
339,0.03912508
340,0.14223164
341,0.40857705
342,0.16427977
343,0.25312448
344,0.3740213
345,0.36511502
346,0.121023506
347,0.22059083
348,0.11207838
349,0.22052668
350,0.1596209
351,0.107776865
352,0.3271124
353,0.21989357
354,0.19051893
355,0.29967567
356,0.0648673
357,0.12957603
358,0.17357378
359,0.18338582
360,0.16970737
361,0.025811713
362,0.090530924
363,0.23803358
364,0.029851964
365,0.31782532
366,0.7967451
367,0.17433716
368,0.25613776
369,0.107094966
370,0.112172
371,0.16340804
372,0.32498807
373,0.17996597
374,0.2633429
375,0.05476173
376,0.3235054
377,0.41069934
378,0.18226899
379,0.13664556
380,0.7038905
381,0.20072846
382,0.02503306
383,0.21408427
384,0.16515782
385,0.19831735
386,0.19472858
387,0.046115566
388,0.10349004
389,0.06412583
390,0.31953287
391,0.06924948
392,0.19170776
393,0.007091112
394,0.20711929
395,0.24800411
396,0.012529926
397,0.011581194
398,0.045450505
399,0.075881496
